7/29/2013 : 	Day Change: $-684.75	Total Net: $100.70	Total Invested: $28443.85	Avg_gain: 18.24
7/30/2013 : 	Day Change: $257.29		Total Net: $357.99	Total Invested: $29101.13	Avg_gain: 19.25
7/31/2013 : 	Day Change: $-117.19	Total Net: $240.80	Total Invested: $29423.39	Avg_gain: 18.68
8/1/2013 : 	Day Change: $505.92		Total Net: $746.72	Total Invested: $29929.31	Avg_gain: 20.72
8/2/2013 : 	Day Change: $119.92		Total Net: $866.64	Total Invested: $24194.09	Avg_gain: 21.13
8/5/2013 : 	Day Change: $-160.39	Total Net: $706.25	Total Invested: $24033.69	Avg_gain: 20.21
8/6/2013 : 	Day Change: $-429.33	Total Net: $276.92	Total Invested: $24004.36	Avg_gain: 18.37
8/7/2013 : 	Day Change: $-56.17		Total Net: $220.76	Total Invested: $23948.20	Avg_gain: 18.07
8/8/2013 : 	Day Change: $-75.36		Total Net: $145.40	Total Invested: $23872.84	Avg_gain: 17.69
8/9/2013 : 	Day Change: $-349.03	Total Net: $-203.63	Total Invested: $23523.81	Avg_gain: 16.20
8/12/2013 : 	Day Change: $69.54	Total Net: $-134.09
8/13/2013 : 	Day Change: $74.94	Total Net: $-59.15
8/14/2013 : 	Day Change: $139.62	Total Net: $80.47
8/15/2013 : 	Day Change: $-403.38	Total Net: $-322.91
8/16/2013 : 	Day Change: $-750.21	Total Net: $-1,073.12
8/19/2013 : 	Day Change: $-253.72	Total Net: $-1,326.84
8/20/2013 : 	Day Change: $422.4	Total Net: $-904.44

9/05/2013 : 	Day Change: $655.10	Total Net: $451.47	Total Invested: $28469.76	Avg_gain: 16.75
9/6/2013 :	Day Change: $290.67	Total Net: $740.87	Total Invested: $28759.16	Avg_gain: 17.40
9/9/2013 :	Day Change: $31.31	Total Net: $772.18	Total Invested: $28784.23	Avg_gain: 17.91
9/10/2013 : 	Day Change: $473.10	Total Net: $1213.97	Total Invested: $29232.26	Avg_gain: 19.42
9/11/2013 : 	Day Change: $-786.00	Total Net: $427.97	Total Invested: $28446.26	Avg_gain: 16.55
9/12/2013 : 	Day Change: $365.01	Total Net: $792.98	Total Invested: $28811.27	Avg_gain: 17.79
9/13/2013 : 	Day Change: $151.02	Total Net: $944.00	Total Invested: $29511.99	Avg_gain: 18.26
9/16/2013 : 	Day Change: $350.26	Total Net: $1294.26	Total Invested: $29862.25	Avg_gain: 19.29
9/17/2013 : 	Day Change: $140.25	Total Net: $1434.51	Total Invested: $30002.50	Avg_gain: 19.72
9/18/2013 : 	Day Change: $317.72	Total Net: $1752.23	Total Invested: $30320.22	Avg_gain: 20.76
9/19/2013 : 	Day Change: $-67.73	Total Net: $1684.50	Total Invested: $30252.49	Avg_gain: 20.45
9/20/2013 : 	Day Change: $-434.19	Total Net: $1250.31	Total Invested: $29804.24	Avg_gain: 18.88
9/23/2013 : 	Day Change: $-0.56	Total Net: $1249.74	Total Invested: $29803.67	Avg_gain: 18.68
9/24/2013 : 	Day Change: $372.50	Total Net: $1622.24	Total Invested: $30176.17	Avg_gain: 19.89
9/25/2013 : 	Day Change: $186.88	Total Net: $1809.12	Total Invested: $30377.11	Avg_gain: 20.45
9/26/2013 : 	Day Change: $276.43	Total Net: $2085.55	Total Invested: $30653.54	Avg_gain: 21.32
9/27/2013 : 	Day Change: $41.59	Total Net: $2127.15	Total Invested: $30695.14	Avg_gain: 21.39
9/30/2013 : 	Day Change: $-233.39	Total Net: $1893.76	Total Invested: $30461.75	Avg_gain: 20.40
10/01/2013 : 	Day Change: $394.58	Total Net: $2288.34	Total Invested: $30856.33	Avg_gain: 21.64
10/02/2013 : 	Day Change: $-93.85	Total Net: $2194.49	Total Invested: $30762.48	Avg_gain: 21.26
10/03/2013 : 	Day Change: $-583.76	Total Net: $1610.73	Total Invested: $30178.72	Avg_gain: 19.26
10/04/2013 : 	Day Change: $28.26	Total Net: $1638.99	Total Invested: $30206.98	Avg_gain: 19.29
10/07/2013 : 	Day Change: $7.29	Total Net: $1646.29	Total Invested: $30214.28	Avg_gain: 19.12
10/08/2013 : 	Day Change: $-390.11	Total Net: $1256.18	Total Invested: $29824.17	Avg_gain: 17.79
10/09/2013 : 	Day Change: $-428.25	Total Net: $827.93	Total Invested: $29395.92	Avg_gain: 16.34
10/10/2013 : 	Day Change: $326.46	Total Net: $1154.39	Total Invested: $29722.38	Avg_gain: 17.34
10/11/2013 : 	Day Change: $363.20	Total Net: $1517.59	Total Invested: $30085.58	Avg_gain: 18.46
10/14/2013 : 	Day Change: $328.77	Total Net: $1846.36	Total Invested: $30414.35	Avg_gain: 19.33
10/15/2013 : 	Day Change: $660.70	Total Net: $2507.06	Total Invested: $28132.00	Avg_gain: 21.37
10/16/2013 : 	Day Change: $44.36	Total Net: $2551.43	Total Invested: $28176.37	Avg_gain: 21.45	Percent_gain_year: %15.20
10/17/2013 : 	Day Change: $155.36	Total Net: $2706.79	Total Invested: $28331.73	Avg_gain: 21.87	Percent_gain_year: %15.72
10/18/2013 : 	Day Change: $164.60	Total Net: $2871.39	Total Invested: $27882.47	Avg_gain: 22.25	Percent_gain_year: %16.27
10/21/2013 : 	Day Change: $81.53	Total Net: $2952.92	Total Invested: $27964.00	Avg_gain: 22.37	Percent_gain_year: %16.54
10/22/2013 : 	Day Change: $811.67	Total Net: $3764.59	Total Invested: $29175.67	Avg_gain: 21.52	Percent_gain_year: %19.25
10/23/2013 : 	Day Change: $-1040.02	Total Net: $2724.57	Total Invested: $19108.72	Avg_gain: 21.22	Percent_gain_year: %15.78
10/24/2013 : 	Day Change: $-287.69	Total Net: $2436.88	Total Invested: $18821.03	Avg_gain: 20.56	Percent_gain_year: %14.82
10/25/2013 : 	Day Change: $-159.57	Total Net: $2277.31	Total Invested: $18661.46	Avg_gain: 20.01	Percent_gain_year: %14.29
10/28/2013 : 	Day Change: $112.81	Total Net: $2390.12	Total Invested: $18774.27	Avg_gain: 20.17	Percent_gain_year: %14.67
10/29/2013 : 	Day Change: $283.39	Total Net: $2673.51	Total Invested: $19057.66	Avg_gain: 20.97	Percent_gain_year: %15.61
10/30/2013 : 	Day Change: $-232.21	Total Net: $2441.30	Total Invested: $18825.45	Avg_gain: 20.20	Percent_gain_year: %14.84
10/31/2013 : 	Day Change: $-42.42	Total Net: $2398.88	Total Invested: $18783.03	Avg_gain: 20.01	Percent_gain_year: %14.70
11/01/2013 : 	Day Change: $236.02	Total Net: $2634.90	Total Invested: $19019.05	Avg_gain: 20.66	Percent_gain_year: %15.48
11/04/2013 : 	Day Change: $121.18	Total Net: $2756.08	Total Invested: $19140.23	Avg_gain: 20.84	Percent_gain_year: %15.89
11/05/2013 : 	Day Change: $-197.25	Total Net: $2558.83	Total Invested: $18942.98	Avg_gain: 20.19	Percent_gain_year: %15.23
11/06/2013 : 	Day Change: $68.55	Total Net: $2627.39	Total Invested: $19011.54	Avg_gain: 20.33	Percent_gain_year: %15.46
11/07/2013 : 	Day Change: $-424.44	Total Net: $2202.95	Total Invested: $18587.10	Avg_gain: 19.01	Percent_gain_year: %14.04
11/08/2013 : 	Day Change: $138.73	Total Net: $2341.68	Total Invested: $18725.83	Avg_gain: 19.37	Percent_gain_year: %14.50
11/11/2013 : 	Day Change: $53.71	Total Net: $2395.39	Total Invested: $21286.29	Avg_gain: 19.35	Percent_gain_year: %14.68
11/12/2013 : 	Day Change: $-466.30	Total Net: $1929.09	Total Invested: $22170.94	Avg_gain: 17.93	Percent_gain_year: %13.13
11/13/2013 : 	Day Change: $608.33	Total Net: $2537.42	Total Invested: $22779.27	Avg_gain: 19.66	Percent_gain_year: %15.16
11/14/2013 : 	Day Change: $-478.17	Total Net: $2059.25	Total Invested: $22301.10	Avg_gain: 18.21	Percent_gain_year: %13.56
11/15/2013 : 	Day Change: $48.13	Total Net: $2107.39	Total Invested: $22349.24	Avg_gain: 16.79	Percent_gain_year: %12.22
11/19/2013 : 	Day Change: $-346.34	Total Net: $1761.05	Total Invested: $25969.85	Avg_gain: 17.09	Percent_gain_year: %12.57
11/20/2013 : 	Day Change: $-58.55	Total Net: $1702.49	Total Invested: $25911.29	Avg_gain: 16.88	Percent_gain_year: %12.37
11/21/2013 : 	Day Change: $192.01	Total Net: $1894.50	Total Invested: $26103.30	Avg_gain: 17.38	Percent_gain_year: %13.01
11/22/2013 : 	Day Change: $-94.59	Total Net: $1799.90	Total Invested: $26008.70	Avg_gain: 17.06	Percent_gain_year: %12.70
11/24/2013 : 	Day Change: $0.00	Total Net: $1799.90	Total Invested: $26008.70	Avg_gain: 16.96	Percent_gain_year: %12.70
11/25/2013 : 	Day Change: $181.67	Total Net: $1981.57	Total Invested: $26190.37	Avg_gain: 17.42	Percent_gain_year: %13.30
11/26/2013 : 	Day Change: $883.78	Total Net: $2865.35	Total Invested: $27074.15	Avg_gain: 19.86	Percent_gain_year: %16.25
11/27/2013 : 	Day Change: $231.16	Total Net: $3096.51	Total Invested: $27305.31	Avg_gain: 19.86	Percent_gain_year: %16.25
11/29/2013 : 	Day Change: $-254.97	Total Net: $2841.55	Total Invested: $27050.35	Avg_gain: 17.41	Percent_gain_year: %16.22
12/01/2013 : 	Day Change: $-0.13	Total Net: $2841.42	Total Invested: $27050.22	Avg_gain: 19.52	Percent_gain_year: %16.17
12/02/2013 : 	Day Change: $-278.85	Total Net: $2562.57	Total Invested: $26771.37	Avg_gain: 18.69	Percent_gain_year: %15.24
12/03/2013 : 	Day Change: $-74.30	Total Net: $2488.26	Total Invested: $27447.06	Avg_gain: 18.44	Percent_gain_year: %14.99
12/04/2013 : 	Day Change: $400.44	Total Net: $2888.70	Total Invested: $27847.50	Avg_gain: 19.49	Percent_gain_year: %16.33
12/05/2013 : 	Day Change: $-333.63	Total Net: $2555.07	Total Invested: $27513.87	Avg_gain: 18.52	Percent_gain_year: %15.22
12/06/2013 : 	Day Change: $-111.54	Total Net: $2443.53	Total Invested: $27402.33	Avg_gain: 18.16	Percent_gain_year: %14.84
12/09/2013 : 	Day Change: $-327.41	Total Net: $2116.12	Total Invested: $27074.92	Avg_gain: 17.13	Percent_gain_year: %13.75
12/11/2013 : 	Day Change: $-218.08	Total Net: $1898.04	Total Invested: $26856.84	Avg_gain: 16.45	Percent_gain_year: %13.03
12/12/2013 : 	Day Change: $-199.83	Total Net: $1698.21	Total Invested: $26657.01	Avg_gain: 15.87	Percent_gain_year: %12.36
12/13/2013 : 	Day Change: $-332.64	Total Net: $1365.57	Total Invested: $26324.37	Avg_gain: 14.93	Percent_gain_year: %11.25
12/15/2013 : 	Day Change: $0.00	Total Net: $1365.57	Total Invested: $26324.37	Avg_gain: 14.85	Percent_gain_year: %11.25
12/16/2013 : 	Day Change: $226.55	Total Net: $1592.12	Total Invested: $26550.92	Avg_gain: 15.42	Percent_gain_year: %12.01
12/17/2013 : 	Day Change: $-31.44	Total Net: $1560.67	Total Invested: $27269.47	Avg_gain: 15.29	Percent_gain_year: %11.90
12/18/2013 : 	Day Change: $263.06	Total Net: $1823.73	Total Invested: $27532.53	Avg_gain: 15.95	Percent_gain_year: %12.78
12/19/2013 : 	Day Change: $-91.30	Total Net: $1732.42	Total Invested: $27441.22	Avg_gain: 15.66	Percent_gain_year: %12.47
12/20/2013 : 	Day Change: $420.31	Total Net: $2152.73	Total Invested: $27861.53	Avg_gain: 16.73	Percent_gain_year: %13.88
12/23/2013 : 	Day Change: $670.22	Total Net: $2822.95	Total Invested: $28531.75	Avg_gain: 18.35	Percent_gain_year: %16.11
12/24/2013 : 	Day Change: $11.18	Total Net: $2834.13	Total Invested: $28542.93	Avg_gain: 18.33	Percent_gain_year: %16.15
12/26/2013 : 	Day Change: $201.78	Total Net: $3035.91	Total Invested: $28744.71	Avg_gain: 18.76	Percent_gain_year: %16.82
12/27/2013 : 	Day Change: $-50.57	Total Net: $2985.33	Total Invested: $28694.13	Avg_gain: 18.58	Percent_gain_year: %16.65
12/30/2013 : 	Day Change: $19.86	Total Net: $3005.19	Total Invested: $28713.99	Avg_gain: 18.49	Percent_gain_year: %16.72
12/31/2013 : 	Day Change: $-34.04	Total Net: $2971.15	Total Invested: $28679.95	Avg_gain: 18.35	Percent_gain_year: %16.60
